0.5,2,ree_K3_g0050_t0200,20,5.0,0.00000008,1.03e-03,314
0.1,2,ree_K3_g0010_t0200,20,5.0,0.00000198,1.11e-03,317
0.15,2,ree_K3_g0015_t0200,20,5.0,0.00000092,1.39e-03,319
0.2,2,ree_K3_g0020_t0200,20,5.0,0.00000008,9.90e-04,237
0.25,2,ree_K3_g0025_t0200,20,5.0,0.00000011,1.28e-03,319
0.3,2,ree_K3_g0030_t0200,20,5.0,0.00000012,9.23e-04,173
0.4,2,ree_K3_g0040_t0200,20,5.0,0.00000008,9.08e-04,138
0.65,2,ree_K3_g0065_t0200,20,5.0,0.00000002,9.03e-04,86
0.8,2,ree_K3_g0080_t0200,20,5.0,0.00000003,9.03e-04,83
1,2,ree_K3_g0100_t0200,20,5.0,0.00000004,6.04e-04,92
1.3,2,ree_K3_g0130_t0200,20,5.0,0.00000005,3.88e-04,125
1.6,2,ree_K3_g0160_t0200,20,5.0,0.00000006,3.21e-04,160
2,2,ree_K3_g0200_t0200,20,5.0,0.00000006,2.64e-04,161
2.5,2,ree_K3_g0250_t0200,20,5.0,0.00000002,6.97e-04,63
3.2,2,ree_K3_g0320_t0200,20,5.0,0.00000003,3.25e-04,82
4,2,ree_K3_g0400_t0200,20,5.0,0.00000002,7.13e-04,66
5,2,ree_K3_g0500_t0200,20,5.0,0.00000002,6.59e-04,64
6.5,2,ree_K3_g0650_t0200,20,5.0,0.00000002,5.37e-04,84
8,2,ree_K3_g0800_t0200,20,5.0,0.00000001,5.26e-04,76
10,2,ree_K3_g1000_t0200,20,5.0,0.00000000,9.83e-05,139
0.5,0.3,ree_K3_g0050_t0030,20,5.0,0.00005835,2.16e-05,63
0.5,0.4,ree_K3_g0050_t0040,20,5.0,0.00000875,2.03e-05,72
0.5,0.5,ree_K3_g0050_t0050,20,5.0,0.00000294,6.89e-05,82
0.5,0.65,ree_K3_g0050_t0065,20,5.0,0.00000078,6.14e-05,109
0.5,0.8,ree_K3_g0050_t0080,20,5.0,0.00000029,3.49e-05,224
0.5,1,ree_K3_g0050_t0100,20,5.0,0.00000006,6.62e-04,83
0.5,1.3,ree_K3_g0050_t0130,20,5.0,0.00000001,3.72e-04,145
0.5,1.6,ree_K3_g0050_t0160,20,5.0,0.00000001,7.82e-04,127
0.5,2.5,ree_K3_g0050_t0250,20,5.0,0.00000300,6.43e-04,143
0.5,3,ree_K3_g0050_t0300,20,5.0,0.00037800,8.87e-04,165
0.5,3.5,ree_K3_g0050_t0350,20,5.0,0.00540160,1.64e-03,332
0.5,4,ree_K3_g0050_t0400,20,5.0,0.00744994,3.69e-03,335
0.5,5,ree_K3_g0050_t0500,20,5.0,0.01128112,1.09e-03,324
0.5,6,ree_K3_g0050_t0600,20,5.0,0.01502489,2.45e-03,315
0.5,7.5,ree_K3_g0050_t0750,20,5.0,0.01543961,1.12e-02,328
0.5,9,ree_K3_g0050_t0900,20,5.0,0.01325974,5.30e-03,340
0.5,11,ree_K3_g0050_t1100,20,5.0,0.00013156,1.92e-04,68
0.5,13,ree_K3_g0050_t1300,20,5.0,0.27345916,7.96e-05,59
0.5,15,ree_K3_g0050_t1500,20,5.0,0.20039437,2.52e-04,39
1,0.3,ree_K3_g0100_t0030,20,5.0,0.00004591,1.86e-05,54
1,0.4,ree_K3_g0100_t0040,20,5.0,0.00000870,1.37e-05,119
1,0.5,ree_K3_g0100_t0050,20,5.0,0.00000257,1.45e-04,33
1,0.65,ree_K3_g0100_t0065,20,5.0,0.00000059,3.67e-05,63
1,0.8,ree_K3_g0100_t0080,20,5.0,0.00000027,5.62e-05,98
1,1,ree_K3_g0100_t0100,20,5.0,0.00000005,1.56e-05,262
1,1.3,ree_K3_g0100_t0130,20,5.0,0.00000001,7.01e-04,49
1,1.6,ree_K3_g0100_t0160,20,5.0,0.00000001,3.55e-04,113
1,2.5,ree_K3_g0100_t0250,20,5.0,0.00000013,1.29e-03,322
1,3,ree_K3_g0100_t0300,20,5.0,0.00009532,1.63e-03,334
1,3.5,ree_K3_g0100_t0350,20,5.0,0.00135844,1.71e-03,339
1,4,ree_K3_g0100_t0400,20,5.0,0.00425203,1.83e-03,359
1,5,ree_K3_g0100_t0500,20,5.0,0.00570898,1.11e-03,328
1,6,ree_K3_g0100_t0600,20,5.0,0.00684142,2.79e-03,332
1,7.5,ree_K3_g0100_t0750,20,5.0,0.01323828,4.89e-03,336
1,9,ree_K3_g0100_t0900,20,5.0,0.00149011,9.05e-03,340
1,11,ree_K3_g0100_t1100,20,5.0,0.00008919,1.52e-04,76
1,13,ree_K3_g0100_t1300,20,5.0,0.00202556,7.12e-05,56
1,15,ree_K3_g0100_t1500,20,5.0,0.00068961,2.21e-04,46
4,0.3,ree_K3_g0400_t0030,20,5.0,0.00004179,1.82e-05,59
4,0.4,ree_K3_g0400_t0040,20,5.0,0.00000810,2.39e-05,62
4,0.5,ree_K3_g0400_t0050,20,5.0,0.00000283,1.16e-05,96
4,0.65,ree_K3_g0400_t0065,20,5.0,0.00000080,5.43e-05,85
4,0.8,ree_K3_g0400_t0080,20,5.0,0.00000024,6.94e-05,59
4,1,ree_K3_g0400_t0100,20,5.0,0.00000004,1.03e-04,52
4,1.3,ree_K3_g0400_t0130,20,5.0,0.00000000,2.69e-04,36
4,1.6,ree_K3_g0400_t0160,20,5.0,0.00000000,7.22e-04,30
4,2.5,ree_K3_g0400_t0250,20,5.0,0.00000008,7.30e-04,59
4,3,ree_K3_g0400_t0300,20,5.0,0.00003927,5.36e-04,91
